storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
f8b0f01a-9afc-46d3-b56e-81c786b967e8,Masalah di surga?,Pada 4 Juli 2016 Alan dan Fran akan menikah selama 13 tahun.,Mereka tidak memiliki apa pun yang direncanakan untuk merayakan hari itu.,Mereka juga tidak saling memberi tahu hari jadi bahagia.,Tak satu pun dari mereka tampaknya berpikir itu adalah hari yang istimewa untuk diakui.,Sekarang mereka berdua khawatir pernikahan mereka mungkin dalam kesulitan.
f11ea613-90eb-4d8b-ba51-4c7c93ec10d7,Menyalakan kembali setelah tragedi,Kelly dan Jeff telah menikah selama 25 tahun.,Mereka tumbuh terpisah selama bertahun -tahun dan tidak lagi romantis.,Suatu hari Jeff jatuh dari tangga dan terluka parah.,Itu memicu sesuatu dan Kelly menyadari bahwa dia tidak ingin kehilangan Jeff.,Mereka sekarang telah memutuskan untuk pergi ke konseling untuk membantu menyalakan kembali api mereka.
efc8be2b-1579-4875-b05e-a4e41d45c73f,Nama tetap tidak berubah,Cece menikah dengan kekasih SMA -nya.,Mereka memiliki tiga anak bersama.,Suaminya selingkuh dan mereka bercerai.,Dia menuntut dia mengubah nama belakangnya dan tidak menggunakannya.,Cece menolak tuntutannya karena anak -anaknya memiliki nama belakang yang sama.
f39c669d-5aec-47b0-b4ba-2e06889bbf98,Pernikahan dan Perceraian,Rena dan Jerry pergi ke sekolah menengah bersama.,Mereka segera jatuh cinta.,Segera setelah usia mereka menikah.,Sayangnya mereka tidak bisa membuatnya bekerja sebagai pasangan yang sudah menikah.,Jadi mereka mengajukan perceraian tetapi tetap berteman.
bde6b916-beb9-4402-bc77-b46be9e1be3f,Baby Lie Besar,Leslie dan Jerry bertanggal di sekolah menengah.,Mereka ceroboh dan dia hamil.,Leslie berbohong kepada Jerry dan mengatakan bayi itu bukan miliknya.,Tetapi ketika bayi itu berusia 5 tahun dia tampak seperti Jerry.,Pengadilan memerintahkan tes DNA yang membuktikan bahwa Jerry adalah ayah.
190965c4-240b-4f4d-8b6c-8e8301cc4970,Berambut merah,Mario sangat menyukai wanita dengan rambut merah.,Dia pikir rambut mereka sangat cantik di bawah sinar matahari.,Dia melakukan perjalanan ke Irlandia untuk bertemu dengan seorang wanita dengan rambut merah.,Dia menemukan beberapa wanita dengan rambut merah yang cantik.,Dia menikah dengan yang memiliki rambut terpanjang.
68a75777-9e84-4fad-b1d7-39f29939d335,Larry si pria yang sedang tumbuh,Larry selalu gugup di sekitar perempuan.,Larry memutuskan untuk menjadi pria yang lebih percaya diri.,Larry bekerja dan memperluas pikirannya dengan membaca lebih banyak.,Larry menemukan seorang gadis yang sangat dia sukai.,Sekarang Larry dan gadis itu sedang berkencan!
aa077378-4ccd-4893-9517-a79aa8002f2f,Lamaran Nikah,Tim telah bersama Kathy selama setahun.,Dia sangat mencintainya.,Dia ingin menikahinya.,Tim meminta tangannya dalam pernikahan.,Dia berkata ya.
c3fc7863-3536-40dd-9d77-0efe43bc4d6d,Menang besar,Donald adalah anak kaya yang hidup dari warisan besar.,Dia bermimpi memiliki banyak real estat.,Dia membeli menara besar dengan sebagian uangnya.,Wanita cantik terkesan dengan prestasi ini dan menikahinya.,Donald menceraikan semua kecuali satu dari mereka.
f05f1258-2271-4630-a93a-9d3a871fd9c1,Eva,Eva adalah seorang mahasiswa asing yang mengunjungi universitas di Amerika.,Eva bertemu dengan seorang siswa bernama Matt yang sangat dia sukai.,Eva dan Matt tanggal selama beberapa bulan.,Eva dan Matt memutuskan untuk menikah.,Sekarang Eva adalah seorang istri dan warga negara dari dua negara.
3903aed4-b3bc-4205-beca-0bd0433e1715,Proposal yang tidak disengaja,Shane telah menjalin hubungan selama tiga tahun.,Pacarnya selalu mengisyaratkan dia untuk melamar.,Dia tidak ingin menikah saat ini dalam hidupnya.,"Ketika mereka makan malam, dia membungkuk untuk mengikat sepatunya.","Dia pikir dia melamar dan berkata ya, pernikahannya pada bulan Juni."
f34dd56f-97b2-4562-b1a1-bac257ea8559,hari Valentine,Tom ingin memberi pacarnya hadiah Hari Valentine terbaik yang pernah ada.,Dia membeli sekotak cokelat bersama dengan selusin mawar merah.,Tom membawanya keluar untuk makan malam dan memberinya hadiah.,"Dia sangat senang, tetapi terkejut ketika Tom berlutut.","Tom memintanya untuk menikah dengannya, dan itu benar -benar hadiah terbaik yang pernah ada."
b16c965f-874d-44bf-bf22-f7ef41f7188c,Pernikahan,Saya mencintai seorang pria yang keyakinan agamanya berbeda dari saya.,Saya memberi tahu ibu saya bahwa saya ingin menikah dengannya.,Ibu saya sangat marah dan kami bertengkar besar.,Saya tetap maju dan menikahinya.,Ibu saya dan saya tidak lagi berbicara satu sama lain.
057d12b3-7550-4462-8d5f-afad6e03a8ec,Proposal,Saya dan pacar saya telah berkencan selama lebih dari 8 tahun.,Besok akan menjadi hari saya akhirnya membatalkan pertanyaan.,"Saya ingin dia tahu betapa istimewanya dia bagi saya, betapa saya memujanya.","Masalahnya adalah, saya buruk dalam hal -hal ini.","Besok dan saya ingin mati, tapi untungnya dia memberi saya hidup."
cf960c4a-f3fc-43af-8246-93015240b74b,Dimana cincinnya?,James bersiap -siap untuk menikah ketika dia menyadari bahwa dia tidak punya cincin.,Dia memanggil pria terbaiknya untuk bertanya apakah dia memilikinya.,"Karena tidak, mereka berdua melihat ke mana -mana di apartemen James.","Ketika pernikahan akan dimulai, James masih tidak punya cincin.",Dia harus meminta cincin ibunya sehingga dia tidak akan terlihat seperti orang bodoh.
44bde659-c6d2-4589-8e81-6147739a8742,Suki Love,Suki adalah mahasiswa valuta asing yang manis dari Jepang.,Saya bertemu Suki suatu hari sambil berjalan di kampus.,Saya langsung jatuh cinta dengan Suki.,Saya memintanya untuk menikah dengan saya dan tinggal di Amerika.,"Luar biasa, dia berkata ya!"
81d73aca-3174-45e2-a00d-0002e06c9bf6,Mae di Tokyo,"Saya pernah melakukan perjalanan ke Tokyo, Jepang.",Sementara saya di sana saya bertemu dengan seorang gadis cantik bernama Mae.,Aku cepat -cepat jatuh cinta dengan Mae.,Saya memutuskan untuk tinggal dan mengenalnya dan keluarganya.,Sekarang kami sudah menikah dan saya tinggal di Jepang!
92449466-d0c2-478c-b32c-aa978deea264,Taruhan Pernikahan,"Ketika Paul masih muda, dia bertaruh ayahnya, dia tidak akan pernah menikah.",Dia sangat yakin bahwa gagasan pernikahan bukan untuknya.,Tapi akhirnya dia jatuh cinta dengan seorang gadis cantik.,Mereka berkencan selama beberapa tahun dan dia akhirnya memintanya untuk menikah dengannya.,"Dia membayar taruhannya, tetapi sangat senang menjadi pria yang menikah dengan bahagia."
32d810b3-2bc0-47e9-b4f2-3ea0af0e7e7b,Kesuburan,Alan tidak menginginkan anak.,Dia selalu memandang mereka sebagai beban.,"Ketika dia menikah, dia mulai berubah pikiran.",Dia masuk untuk mendapatkan tes kesuburan untuk melihat apakah dia bisa memiliki anak.,Dia sangat terpukul mengetahui bahwa dia tidak subur.
d23f43d7-80d4-4e6c-833a-1f08d6643d68,Kevin,"Kevin berusia 19 tahun ketika kami bertemu, dan saya berusia 12 tahun.","Saya tidak tertarik padanya, tetapi dia punya mobil.",Itu membuat saya lebih populer karena semua orang cemburu.,"Saya bahkan belum menjadi remaja, berkencan dengan seorang mahasiswa.","Dia pergi ke tentara, dan aku putus dengannya musim panas itu."
11446614-2229-4383-8524-f686d1ae2808,Mantan istri dan bayinya,Louis telah bercerai selama lima bulan.,Dia belum melihat istrinya sejak perceraian.,Dia menabraknya di toko kelontong dan sangat marah.,Dia hamil enam bulan.,Louis menyadari bahwa mantannya berselingkuh padanya.
86600d5e-60de-44e1-b17e-d47feac9501f,Ted menemukan kencan,Ted tidak terlalu pandai berkencan.,Dia sudah lama mencari kencan.,Seorang teman menyarankan situs kencan online.,Ted mengira dia tidak akan rugi yang lain.,Ted dapat menemukan kencan yang bagus di situs web.
b8f38476-aadf-49af-816f-39fa759620f5,Perpustakaan,Bea suka pergi ke perpustakaan.,Bea sering menghabiskan berjam -jam di akhir pekan di sana.,Bea bertemu dengan seorang pria yang berbagi kecintaannya yang sama untuk membaca.,Bea dan pria itu berkencan tahun depan dan menikah.,Bea dan suami barunya terus pergi ke perpustakaan setiap minggu.
8f18d691-ae92-4c0d-ba80-d292e63e3ef7,Brad memanjat gunung,Brad sedang mengalami perceraian yang tidak menyenangkan.,Dia perlu melarikan diri dan melarikan diri dari itu.,Dia memutuskan ingin mendaki gunung.,Brad sangat gugup mendaki gunung.,Brad mengesampingkan semua ketakutannya dan menduduki puncak gunung.
999af8a5-d257-4d1d-a3ba-8e2e413cf884,Nilai menghormati,Daphne menolak untuk tidur dengan pria tanpa menikah.,"Setiap kali dia punya pacar baru, dia akan mencampakkannya karena alasan itu.",Dia berpikir dia tidak akan pernah menemukan cinta seperti yang dia inginkan.,"Tapi suatu hari, dia menemukan seorang pria dengan nilai yang sama.",Mereka menikah dan baru pada saat itu mereka berbagi keintiman fisik.
dfeea3e8-ffb5-4927-93d9-49ac953e8ab1,Penggiring wanita,Lila akan menikah dalam dua bulan.,Semuanya diatur kecuali untuk satu hal penting.,Dia tidak bisa memutuskan siapa yang akan menjadi pelayan kehormatannya.,Dia punya dua teman baik dan tidak ingin menyakiti keduanya.,Dia memutuskan untuk membuat keduanya pelayan kehormatan sehingga semua orang bisa menang.
84726c2e-0935-4824-99e4-53772e3d7f64,Hari yang penuh kasih,Gary dijuluki hari ini A Day of Love.,"Di tempat kerja, rekan kerja Gary melamar pacarnya saat makan siang.","Kemudian ketika dia pulang, Gary melihat pasangan yang baru menikah.","Akhirnya, saudara laki -laki Gary memanggilnya istrinya hamil.",Gary dipenuhi dengan sukacita di semua contoh cinta yang dilihatnya hari ini.
12248ae8-7d1d-4c5f-9696-80f87a1e17a5,Istri tercinta,Gary akan menikah hari ini.,Gary senang melihat istrinya dengan gaunnya.,"Saat dia berjalan menyusuri lorong, semua orang bertepuk tangan.","Namun, ketika istri Gary berjalan menyusuri lorong, dia menangis.","Gary melihat istrinya, dan gaunnya, dan tahu dia cantik."
ec944eaa-d2e5-496d-adcb-67069542afbb,Nicole takut,Nicole dan Corey baru saja mulai berkencan.,Mereka hanya bersama selama 1 bulan.,Corey baru saja menceritakan sebuah kisah tentang mantan pacarnya.,Mantan pacar itu adalah penguntit yang memukuli gadis mana pun yang berkencan dengannya.,Nicole sekarang sangat takut untuk berkencan dengan Corey.
67548a08-2a08-4658-8704-cbade488c554,Dia benar -benar memperlakukan,Istri kedua ayah Tina meninggalkannya.,Dia pikir dia akan memiliki ayahnya untuk dirinya sendiri untuk sementara waktu.,Tina salah karena itu tidak terjadi sama sekali.,Dia menikah dengan wanita lain pada akhir tahun.,Dia hampir sama brengseknya dengan dia.
efb15cd9-4b1d-4ff6-9c49-6c48368dac3d,Maskot,Scott ingin berkencan dengan kapten pasukan pemandu sorak.,Dia tahu dia menginginkan pacar atletis.,Dia pikir cara terbaik untuk mendekat adalah menjadi maskot sekolah.,Dia dengan cepat mengetahui bahwa tidak ada yang menyukai maskot sekolah.,Scott juga mengetahui bahwa dia berkencan dengan quarterback sekolah.
332163ee-a9b5-480e-ad33-0e1d63703b15,Bercerai,Pernikahan Patti menjadi suram.,Dia dan suaminya bertarung setiap hari.,Patti berada di ujung akalnya.,Dia akhirnya memutuskan untuk bercerai.,Suaminya juga setuju.
2033c634-44f0-4e14-9eb6-437375748ef9,Menikah,Susie akan menikah.,Dia tidak bisa menunggu.,Satu masalah terjadi.,Hujan mulai turun.,Hujan turun.
c0d8f2c6-e663-474a-ba1b-696cec917d3b,Henry mendapat kencan,Henry mencari cinta.,Dia perlu menemukan seseorang yang spesial itu.,Dia melihat bar dan pusat perbelanjaan.,Henry akhirnya menemukan layanan kencan online.,Henry menemukan kencan yang lucu untuk malam ini.
47a7a09a-a063-42db-9e9f-7bb8bb1e5b3d,Katie dan pacarnya,Katie baru -baru ini bertemu dengan seorang pemuda yang dia sukai.,Dia telah berkencan dengannya selama lebih dari dua bulan.,Mereka juga melakukan perjalanan ke luar kota bersama.,Dia sangat berkomitmen untuk pria ini dan berharap hal yang sama tentang dia.,Katie ingin menikah dengan pemuda ini suatu hari nanti.
af0fa793-c179-424a-9efd-ac15464efdab,Jack mendapat pacar,Jack bertemu dengan seorang gadis di sekolah suatu hari nanti.,Dia dan gadis itu mulai berkencan.,Suatu hari Jack bertemu ayah gadis itu.,Dia tidak suka Jack.,Jack dan pacarnya harus menyelinap dan menikah.
44a7e05b-6c2f-4db0-8d38-187dbc19d9db,Cincin,Yvonne baru saja menikah.,Dia mengenakan cincin pernikahannya ke mana pun dia pergi.,"Namun, suatu hari dia salah menempatkannya.",Dia merasa tidak enak karena dia bisa sangat pelupa.,"Untungnya, dia menemukannya terselip di dompetnya nanti."
14111041-9efd-4500-acc2-aeaad3329d5b,Belum siap,Kelsi akan menikah.,Dia menyelesaikan riasannya.,Itu membutuhkan waktu selamanya.,Dia ingin sekali selesai.,Tapi dia masih punya satu jam lagi.
2834174e-580a-465f-a5cb-56be8425d66b,Pacar baru,Christine baru -baru ini mulai berkencan dengan seorang pria baru.,Dia benar -benar ingin membuatnya terkesan.,Dia memutuskan untuk membuatnya makan malam di rumah.,Christine memasak resep baru.,Dia melakukan pekerjaan dengan baik pada masakannya dan pria itu terkesan dengannya.
1c4e62bb-90cb-47af-9603-fcd30f1048c4,Amanda meninggalkan Todd,Amanda adalah model yang cantik.,Dia bertemu Todd melalui internet.,Keduanya bertanggal online selama setahun.,Amanda akhirnya mengunjungi Todd.,Todd sangat mengecewakan bagi Amanda dan dia putus dengannya.
cc30866d-9462-4294-a5d6-c7a7e6d8ecc5,Jannie,Jannie mulai berkencan dengan pamanku.,Mereka berdua baru karena pernikahan yang buruk.,"Dia jauh lebih tinggi darinya, tetapi mereka datang ke rumah kami.","Kami menikmati memilikinya di sana, dan berbicara berjam -jam.",Mereka pergi larut malam itu.
eb7b9817-6887-4b05-a1c4-04b0f0c219eb,Tanggal,Jackie berteman baik dengan Betty.,Jackie mulai berkencan dengan seorang pria dari ras yang berbeda.,Teman Jackie Betty berhenti menerima teleponnya.,Jackie sangat terluka mengetahui bahwa temannya rasis.,Jackie terus berkencan dengan pria itu.
2dbe12fa-0a20-4fac-82b6-a0c868be76b1,Champagne,Itu adalah acara yang sangat istimewa.,Leah dan Tony telah menikah selama 30 tahun!,Mereka membuka sebotol sampanye khusus.,Mereka bersemangat untuk merayakan satu sama lain.,Mereka lebih jatuh cinta daripada sebelumnya.
a5b475d8-99f9-4cde-8538-11519dbd4131,Ivy pergi berkencan,Ivy merasa siap untuk mulai berkencan.,Dia pergi berkencan dengan seorang pria yang dia temui.,Mereka memiliki minuman dan makanan bersama.,Setelah itu dia mengantarnya ke mobilnya.,Ivy senang berkencan.
3a648323-f106-48fe-9fbc-5b7bb778869e,Cinta,Pria itu pindah ke rumah pensiun.,Dia bertemu seorang wanita di sana.,Mereka pergi ke Bingo bersama.,Mereka jatuh cinta.,Mereka menikah.
101be537-c28e-4f7d-901e-f24ecf1356f9,Sopir truk,Frank adalah yang termuda dari tujuh bersaudara.,"Ketika dia masih remaja, dia melakukan banyak kejahatan.","Suatu hari, ia memutuskan untuk melepaskan kejahatan dan menjadi sopir truk.","Di salah satu halte Louisiana -nya, ia bertemu Joyce.","Setelah puluhan kunjungan, dia menetap di Louisiana dan mereka sudah menikah."
958cdb9b-f948-4be4-be2e-65fed78573d9,Pria dewasa yang menjual barbie,Theo memiliki karier yang sangat aneh.,Dia meninggalkan koleksi boneka Barbie yang sangat besar ketika neneknya meninggal.,Dia telah menghasilkan lebih dari tiga juta dolar menjualnya di eBay.,Dia selalu sedikit malu untuk memberi tahu para gadis bahwa dia berkencan dengan apa yang dia lakukan.,Mereka tidak pernah peduli karena dia kaya.
b9761344-0485-4a3c-bf7e-2ae545cdcf41,Proposal,Sam ingin meminta Jen untuk menikah dengannya.,Dia tidak bisa memikirkan tempat romantis untuk melamar.,Akhirnya dia memutuskan untuk bertanya kepadanya di restoran lokal.,Mereka makan malam.,Dia melamar setelah makan malam ketika dia mengatakan ya.
53cd6e02-a0ad-498c-a2c7-3e16cb83e943,Hari libur,Geoffrey terbang ke Hawaii dalam perjalanan bisnis.,Dia perlu bertemu dengan investor dalam bisnis barunya.,Geoffrey tidak terbiasa dengan cuaca dan jatuh sakit.,Dia tidak dapat membuat pitch atau mengontrak investor.,Geoffrey pulang dengan tangan kosong dan patah hati.
e16c7873-8fa0-47df-b6a9-460b34daed56,Bangkrut dan sendirian,Wanita itu menangkap suaminya selingkuh.,Dia mengajukan perceraian.,Dia meminta hakim sebagian besar aset.,Hakim setuju.,Pria itu bangkrut dan sendirian.
f53892e9-13b8-426f-9b5f-4c9b27fd5325,Pergi untuk selamanya,Kate telah menabung untuk membeli jaket kulit baru yang mahal.,Dia kembali ke toko untuk membelinya.,Dia tidak bisa menemukannya di rak.,Dan tidak ada di belakang menurut gadis penjualan.,Kate benar -benar patah hati.
b267b01d-2c05-4f97-86dd-a634bc60060b,Patah hati Dan,Dan adalah pria yang jatuh cinta dengan pacarnya.,Dia memiliki rencana untuk melamarnya.,Pada malam hari dia ditetapkan untuk tujuan.,Dia berlutut dan meminta pacarnya untuk menikah dengannya.,Dia memberi tahu Dan no dan bahwa mereka harus melihat orang lain.
5aab4013-01f5-4572-9754-6b799a9b8a8e,Pria terbaik terburuk,Silas akan menikah.,Sahabatnya Shawn adalah pria terbaik.,Shawn tidak muncul untuk latihan gaun.,Dia muncul terlambat ke pernikahan karena dia mabuk.,Dia juga lupa cincin kawin yang membuatnya menjadi pria terburuk yang pernah ada.
5f2d65cf-f692-4800-98d7-b392968b8298,Makan malam pernikahan,Jeff dan Ashley baru saja menikah hari ini.,Mereka memiliki upacara dan resepsi yang luar biasa.,Mereka sangat sibuk berjalan -jalan menyapa semua tamu mereka sepanjang malam.,Mereka sangat sibuk sehingga mereka tidak mendapat kesempatan untuk makan malam.,Mereka tidak keberatan karena mereka mengalami malam yang luar biasa.
dfc0f6ed-ed91-47c7-b407-ed38f93ded13,Dia kehilangan anak -anaknya,Mary berusia dua puluh empat tahun.,Dia bercerai dan ibu dari tiga anak kecil.,Mary memiliki kebiasaan heroin yang sangat buruk yang menyebabkannya mengabaikan anak -anaknya.,"Suatu hari, Layanan Perlindungan Anak mengunjungi rumah Mary.","Setelah kunjungan mereka, anak -anak Mary dikeluarkan dari rumah."
1c1ff641-2e9e-4778-9dab-8fda62a6af6b,Kunjungan pertama,Kate mengunjunginya seorang pria yang dia kencani bernama Jake di tempatnya.,Mereka hanya berkencan dua.,Tiba -tiba ada ketukan di pintu dan suara seorang wanita.,Kate kesal tetapi mengandung kemarahannya.,Mereka tidak eksklusif sehingga dia tidak punya hak untuk marah.
86782f56-2932-4c7f-b1bb-bb6ebc7e3b52,Pacar populer,Shawn sudah mulai berkencan dengan Wendy dua bulan lalu.,Dia akhirnya memperkenalkannya kepada teman -temannya.,Mereka sepertinya benar -benar cocok.,Shawn bersemangat karena semuanya tampak sempurna.,Kemudian Shawn menyadari bahwa semua orang menyukai Wendy lebih dari yang mereka sukai.
6d1efe10-c2d5-4c1f-8ac1-e1049f50a237,Usul,Hugh dan Lynn telah berkencan selama beberapa tahun.,Hugh meminta Lynne untuk kencan yang sangat istimewa suatu malam.,Selama tanggal Hugh melamar Lynn.,Lynn mengatakan ya untuk proposal itu.,Seluruh restoran bersorak saat mereka saling mencium.
67523698-c5b9-481b-8ddf-a4896421a62c,Pernikahan,April dan Andy telah bersama selama sebulan.,Mereka berdua muda dan jatuh cinta.,Mereka memutuskan untuk melakukan pernikahan kejutan.,Mereka mengundang semua teman.,April dan Andy sekarang menikah dengan bahagia.
1fbff30a-1f1d-4a3a-9268-e3e41140c558,Rumah,Wanita itu menceraikan suaminya.,Dia mengambil rumah dalam perceraian.,Rumah itu mengingatkan wanita mantannya.,Dia menjual rumah karena itu.,Dia menginvestasikan uang di rumah tanpa kenangan.
1116abd6-9eed-4260-a341-551196bb9f6c,Gadis kota,Kelly tinggal di kota besar dan dia menyukainya.,Dia bertemu pria yang baik dan mereka mulai berkencan.,Namanya Ryan dan dia tumbuh di negara itu.,Dia membawa Kelly ke pertaniannya dan mengatakan kepadanya bahwa dia ingin pindah ke sana.,Kelly harus membuang Ryan karena dia terlalu menyukai kota.
36e2c127-2129-4bbd-8b5f-237ae98a458b,Dekat perceraian,Tina tidak senang dengan pernikahannya.,Selalu ada pertempuran.,Tina tidak tahu harus berbuat apa.,Dia kemudian memutuskan untuk pergi ke terapi.,Tina kemudian menyadari bahwa mereka tidak membutuhkan perceraian.
f7267878-10fe-4f96-8c7f-8296be187dfa,Situs kencan,Jennifer kesepian.,Dia tidak punya tanggal dalam beberapa bulan.,Dia memutuskan untuk bergabung dengan situs kencan.,Dia bertemu dengan pria yang luar biasa pada percobaan pertama!,Dia senang melihatnya lagi.
2861af3b-7a7d-4d60-b7ce-091701243d0e,Ryan mendapatkan gadis itu,Ryan adalah orang yang sangat berat.,Dia ingin bertemu gadis itu hanya untuknya.,Dia mencari sepanjang siang dan malam di internet.,Dia akhirnya menemukan cinta sejatinya.,Namanya Abbey dan keduanya menikah.
9cae2ef7-6b25-4aef-883b-caa5260be265,Kencan daring,Adrian bertemu dengan seorang gadis di aplikasi kencan online.,Teman -temannya mengolok -oloknya dengan cara mereka bertemu.,Keduanya bertemu dan dengan cepat jatuh cinta.,"Setelah beberapa bulan, dia memintanya untuk menikah dengannya.",Adrian sekarang memiliki istri yang cantik!
75015d47-c286-4886-98ce-347f7360a601,Keputusan,Rekan kerja saya sudah menikah.,"Suaminya adalah jurusan pra-med, tetapi tidak menjadi dokter.",Dia berkencan dengan jurusan pra-med lainnya di perguruan tinggi.,Orang itu kemudian menjadi dokter.,"Dia berjuang, tetapi mengatakan dia masih tidak menyesal."
adee1557-c38e-410c-a135-6ffc5c56366c,Brandy mendapat kencan,Brandy sedang mencari kencan ke bioskop.,Dia belum berkencan dengan siapa pun.,Dia memposting iklan di Craigslist.,Dia mendapat banyak tanggapan.,Brandy memilih yang terbaik untuknya dan berkencan.
33fa9bfc-9c46-45f0-893e-20dcf907102b,Ikan lele,Alana sedang mencari pacar secara online.,Dia menemukan pria yang sangat tampan.,Dia mengajaknya kencan.,"Ketika mereka keluar, dia memang sangat jelek.",Jadi Alana tidak pernah menggunakan kencan online lagi.
a0a3411b-ec9a-4f33-9805-21c0d3e5b7c5,Baru menikah,Pasangan itu menikah.,Mereka pergi bulan madu mereka.,Mereka bertengkar besar pada malam pertama.,Mereka menghabiskan malam di kamar yang berbeda.,Mereka berbaikan keesokan paginya.
89565341-8b25-4189-a1da-b6402c709a4d,Chip ingin menjadi badut,Chip hanya ingin melakukan sesuatu yang dia sukai.,Dia pergi ke Prancis untuk menjadi badut.,Dia bertemu seorang wanita di sana dan memintanya untuk menikah dengannya.,Keduanya kembali ke Amerika.,Chip mendapat pekerjaan bekerja di rodeo sebagai badut.
571870ce-9c36-44f8-8f74-8eeba477b61e,Ex gila,Saudaraku berkencan dengan seorang gadis yang tampak agak libur.,Tidak ada yang benar -benar menyukai atau mempercayainya.,"Ketika mereka akhirnya putus, dia mengambilnya dengan buruk.",Dia masuk ke rumahnya dan menikamnya.,Adikku sangat berhati -hati sekarang.
9dd23548-15f4-4caa-b9ce-12284ac58883,Steve dan Nancy menikah,Steve dan Nancy telah berteman selama bertahun -tahun.,Mereka diam -diam jatuh cinta sepanjang waktu.,Suatu hari Nancy memutuskan untuk pindah ke Eropa untuk mendapatkan pekerjaan.,Steve menghentikannya dan mengatakan kepadanya bahwa dia mencintainya.,Nancy tidak pergi ke Eropa dan mereka menikah.
145ccc66-6337-4617-87d6-33bb5cf3cd48,Romantis Fiksi Penggemar,Ben muak membaca romansa fiksi penggemar.,Dia menyadari bahwa dia ingin mengalami hal yang nyata.,Dia pergi ke situs kencan online.,Dia bahkan ke Craigslist untuk menemukan hubungan.,"Akhirnya, ia memperoleh kencan dan mulai mengalami hal yang nyata."
008c052f-6987-4ceb-a57c-458653bbe08e,Dia tidak bisa memotret,Cris adalah pria yang tampan.,Dia memiliki satu cacat nyata yang membuatnya sadar diri.,Dia tidak bisa mengambil foto yang bagus.,Setiap foto dirinya membuatnya terlihat mengerikan.,Cara berkencan di dunia modern berhasil membuat ini menjadi masalah.
6491d5fe-063a-4669-8a05-d70e4e8d820b,Paman Joe,Joe tidak pernah menikah atau punya anak.,"Dia sangat menyukai putra saudara perempuannya, Paul.",Dia membawanya ke bioskop dan mengajarinya cara memancing.,"Akhirnya, saudara perempuannya mengatakan ayah Paul tidak menyukainya.","Joe masih akan berkunjung, tetapi hal -hal tidak sama."
848bfad8-0fbb-47e8-a2ef-61619d9b116d,John dan istrinya,John dan istrinya telah menikah selama bertahun -tahun.,Istrinya menjadi kelelahan dengan pekerjaan dan anak -anaknya.,John ingin melakukan sesuatu yang baik untuk istrinya.,Dia memutuskan untuk membawanya keluar pada kencan yang mewah.,Istrinya merasa jauh lebih baik sesudahnya.
a33bc7e1-bab5-43cc-80f3-6b504ccb2344,Tertahan karena plagiarisme diri,Saya menulis sebuah puisi di sekolah menengah untuk seorang gadis bernama Jessi.,Jessi dan aku putus.,Kemudian saya mulai berkencan dengan Lee Lee.,Saya menyalin puisi yang saya tulis untuk Jessi dan memberikannya kepada Lee Lee.,Lee Lee mengatakan kepada saya bahwa Jessi menunjukkan kepadanya puisi itu enam bulan sebelumnya!
b0744de1-d2d5-4af1-a7c0-cb4561e052ae,Abaikan dia,Teman Kate Tom punya teman Jake yang dia sukai.,Suatu malam dia melihatnya di sebuah klub.,Dia mencoba mendapatkan perhatiannya.,Dia tahu jika mereka berkencan itu akan membuat marah Tom.,Dia memutuskan untuk mengabaikannya dan terus berjalan.
caa2b228-5d57-4158-b5ff-fb8679085550,Cinta sejati,Penny dan John telah jatuh cinta satu sama lain untuk waktu yang lama.,Penny bertemu John di tempat kerja.,Dia memiliki tunangan pada saat mereka bertemu.,John tidak pernah kehilangan harapan.,"Bertahun -tahun kemudian, mereka menikah dengan bahagia."
c38a0ecf-6790-45b3-8170-206b6695a4a5,Biara putus,Abbey berkencan dengan seorang pria bernama Justin.,Keduanya bersama selama beberapa tahun.,Abbey menemukan Justin melakukan hal -hal menjijikkan di komputer.,Dia memutuskan untuk putus dengannya.,Abbey senang dia mencampakkannya dan tidak pernah melihat ke belakang.
0ec4ae60-d37b-46c4-86f2-fcc23af9ffdb,Mary tanpa Bill,Mary dan Bill menikah selama empat puluh tahun.,Mary merawat Bill saat dia meninggal karena kanker.,Apartemen yang mereka bagikan tampak begitu besar tanpanya.,"Terkadang dia duduk dan berbicara dengannya, berpura -pura ada di sana.",Dia menyadari bahwa dia harus menemukan cara untuk melanjutkan hidupnya.
c8855b06-d811-4b0b-acb5-76001c2e99de,Sumpah,Lars akan menikah dalam sehari.,"Dia punya satu masalah, dia tidak bisa menulis sumpahnya.",Dia duduk setiap malam selama enam bulan tetapi tidak ada yang keluar.,Pada hari pernikahan dia masih tidak punya apa -apa.,Dia pergi ke sana dan hanya berbicara dari hati dan itu sempurna.
deefeaae-6f4e-48f3-9453-af9f54aa4b31,Matrimony yang tidak berbalas,Bill dan Dawn akan menikah.,Bill sedang menunggu di altar cukup lama.,Dia mengirim pria terbaiknya untuk menemukan fajar.,Pria terbaiknya kembali dengan berita buruk.,Bill menangis sepanjang malam itu.
12d6aaa8-a7c1-4a14-9447-76c678438201,Sam menemukan pacar baru,Sam merasa sangat sedih.,Dia baru saja putus dengan pacarnya.,Sam memutuskan untuk menemukan pasangan lain.,Dia mendaftar untuk beberapa situs kencan online.,Sam dapat menemukan pacar lain yang menggunakan kencan online.
